MANAG#UN;MANAG#ID;MANAG_NO;COUNTRY_NO;MANAG_NAME;M_NAME_RUS;M_NAME_LAT;MANAG#BGN;MANAG#END
102581701;1025817;28;"268";"Общество с ограниченной ответственностью ""Грузинская железная дорога""";"ГР";"GR";"2010-11-24 09:25:06.187004";"2099-01-01 00:00:00.0"
102581000;1025810;21;"112";"Белорусская железная дорога";"БЧ";"BC";"2007-09-17 14:09:03.147005";"2099-01-01 00:00:00.0"
102581300;1025813;24;"440";"Акционерное общество ""Литовские  железные дороги""";"ЛГ";"LG";"2007-09-17 14:09:03.163005";"2099-01-01 00:00:00.0"
102580900;1025809;20;"643";"Российские железные дороги";"РЖД";"RZD";"2007-09-17 14:09:03.147003";"2099-01-01 00:00:00.0"
102583400;1025834;67;"795";"Управление ""Туркменские железные дороги""";"ТРК";"TRK";"2007-09-17 14:09:03.256005";"2099-01-01 00:00:00.0"
102583301;1025833;66;"762";"Таджикская железная дорога";"ТДЖ";"TDZ";"2015-05-19 12:45:19.777777";"2099-01-01 00:00:00.0"
102582500;1025825;52;"100";"Болгарские государственные железные дороги";"БДЖ";"BZI";"2007-09-17 14:09:03.225002";"2099-01-01 00:00:00.0"
274192100;2741921;0;"000";"Неопределённые";"НЕОП";"N/A";"2011-01-24 09:39:07.859002";"2099-01-01 00:00:00.0"
102583506;1025835;69;"004";"Железные дороги Афганистана";"АФГ";"AFG";"2011-04-22 12:30:04.578002";"2099-01-01 00:00:00.0"
102583100;1025831;58;"051";"Департамент ""Армянская железная дорога""";"АРМ";"ARM";"2007-09-17 14:09:03.241005";"2099-01-01 00:00:00.0"
102581500;1025815;26;"233";"Акционерное общество  ""Эстонская железная дорога""";"ЭВР";"EVR";"2007-09-17 14:09:03.178001";"2099-01-01 00:00:00.0"
102580800;1025808;10;"246";"Финские государственные железные дороги";"ВР";"VR";"2007-09-17 14:09:03.147001";"2099-01-01 00:00:00.0"
102583200;1025832;59;"417";"Кыргызская железная дорога";"КРГ";"KRG";"2007-09-17 14:09:03.256001";"2099-01-01 00:00:00.0"
102583700;1025837;80;"276";"Немецкие железные догроги";"ДБ";"DB";"2007-09-17 14:09:03.288";"2099-01-01 00:00:00.0"
102582205;1025822;33;"156";"Китайские железные дороги";"КЗД";"KZD";"2007-09-19 12:51:49.463001";"2099-01-01 00:00:00.0"
102583000;1025830;57;"031";"Азербайджанская государственная железная дорога";"АЗ";"AZ";"2007-09-17 14:09:03.241003";"2099-01-01 00:00:00.0"
102582700;1025827;54;"203";"Чешские железные дороги";"ЧД";"CD";"2007-09-17 14:09:03.225006";"2099-01-01 00:00:00.0"
102581601;1025816;27;"398";"Акционерное общество ""Национальная компания ""Казахстан Темир Жолы""";"КЗХ";"KTZ";"2010-02-04 13:30:02.609001";"2099-01-01 00:00:00.0"
102581900;1025819;30;"408";"Железная дорога Корейской Народно-Демократической Республики";"ЗЧ";"ZC";"2007-09-17 14:09:03.194003";"2099-01-01 00:00:00.0"
102581400;1025814;25;"428";"Государственное акционерное общество ""Латвийская железная дорога""";"ЛДЗ";"LDZ";"2007-09-17 14:09:03.163007";"2099-01-01 00:00:00.0"
102582800;1025828;55;"348";"Венгерские государственные железные дороги";"МАВ";"MAV";"2007-09-17 14:09:03.225008";"2099-01-01 00:00:00.0"
102583800;1025838;96;"364";"Железные дороги Исламской Респулики Иран";"РАИ";"RAI";"2007-09-17 14:09:03.288002";"2099-01-01 00:00:00.0"
102582400;1025824;51;"616";"Польские государственные железные дороги";"ПКП";"PKP";"2001-01-01 00:00:00.01";"2099-01-01 00:00:00.0"
102582000;1025820;31;"496";"Монгольская железная дорога";"МТЗ";"MTZ";"2007-09-17 14:09:03.194005";"2099-01-01 00:00:00.0"
102582900;1025829;56;"703";"Железные дороги Словацкой Республики";"ЖСР";"ZSR";"2007-09-17 14:09:03.241001";"2099-01-01 00:00:00.0"
102582100;1025821;32;"704";"Вьетнамские железные дороги";"ДСВН";"DSVN";"2007-09-17 14:09:03.210001";"2099-01-01 00:00:00.0"
102581100;1025811;22;"804";"Государственная администрация железнодорожного транспорта Украины ""Укрзализныця""";"УЗ";"UZ";"2007-09-17 14:09:03.163001";"2099-01-01 00:00:00.0"
102581800;1025818;29;"860";"Государственно-акционерная железнодорожная компания ""Узбекские железные дороги""";"УТИ";"UTI";"2007-09-17 14:09:03.194001";"2099-01-01 00:00:00.0"
102583600;1025836;75;"792";"Государственные железные дороги Турецкой Республики";"ТЦДД";"TCDD";"2007-09-17 14:09:03.272003";"2099-01-01 00:00:00.0"
102581200;1025812;23;"498";"Государственное предприятие ""Железная дорога Молдовы""";"ЧФМ";"CFM";"2007-09-17 14:09:03.163003";"2099-01-01 00:00:00.0"
102582600;1025826;53;"642";"Румынские железные дороги";"ЧФР";"CFR";"2007-09-17 14:09:03.225004";"2099-01-01 00:00:00.0"
