ST#UN;ST#ID;STA_NO;STA_ID;STA_NAME;MANAG_NO;ROAD_NO;DIV_NO;PROV_NO;PR_PORT;SIGN;GAUGE_KIND;ST_WORK;PARAGRAPH;FKI_ID;OPER_DEP_NO;ST#BGN;ST#END
102629500;1026295;"015631";;"Апатиты I";20;1;;;0;10;;;"П";1108;;"2007-09-17 14:16:52.390002";"2099-01-01 00:00:00.0"
274193300;2741933;"000000";"NOT";"Неопределённое значение";0;0;;;0;;;;;2000000;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
102615200;1026152;"004457";;"Ниирала";10;;;;0;;;;;1500003;;"2007-09-17 14:16:51.890004";"2099-01-01 00:00:00.0"
102615300;1026153;"004937";;"Вайниккала";10;;;;0;;;;;1500001;;"2007-09-17 14:16:51.906001";"2099-01-01 00:00:00.0"
102615400;1026154;"005033";;"Иматранкоски";10;;;;0;;;;;1500002;;"2007-09-17 14:16:51.906003";"2099-01-01 00:00:00.0"
274193401;2741934;"008040";"Смн";"Семенувка";51;90;;;0;;;;;2000002;;"2011-01-25 12:33:36.031001";"2099-01-01 00:00:00.0"
274193501;2741935;"008055";"Кзн";"Кузница";51;90;;;0;;;;;2000003;;"2011-01-25 12:33:36.031003";"2099-01-01 00:00:00.0"
274193601;2741936;"008106";"Тер";"Тересполь";51;90;;;0;;;;;2000001;;"2011-01-25 12:33:36.031005";"2099-01-01 00:00:00.0"
102615500;1026155;"009498";;"Вартиус";10;;;;0;;;;;1500004;;"2007-09-17 14:16:51.906005";"2099-01-01 00:00:00.0"
102615700;1026157;"010066";;"Скандава";51;;;;0;;;;;1500011;;"2007-09-17 14:16:51.906009";"2099-01-01 00:00:00.0"
102615900;1026159;"010256";;"Гломно";51;;;;0;;;;;1500012;;"2007-09-17 14:16:51.922003";"2099-01-01 00:00:00.0"
281560700;2815607;"010303";;"Томицы";20;1;;;0;10;;;"Б 3";1006;;"2011-07-11 12:33:53.531013";"2099-01-01 00:00:00.0"
102616000;1026160;"010318";;"Шуйский Мост";20;1;;;0;20;;;"О";1007;;"2007-09-17 14:16:51.922005";"2099-01-01 00:00:00.0"
102619400;1026194;"010407";;"Шуйская";20;1;;;0;10;;;"О 1,3";1005;;"2007-09-17 14:16:51.92201";"2099-01-01 00:00:00.0"
102619600;1026196;"010426";;"Лучевой";20;1;;;0;10;;;"О";1003;;"2007-09-17 14:16:51.937003";"2099-01-01 00:00:00.0"
102619700;1026197;"010500";;"Суна";20;1;;;0;10;;;"Б 3";1002;;"2007-09-17 14:16:51.937006";"2099-01-01 00:00:00.0"
102619800;1026198;"010515";;"Ост. Пункт  437 км";20;1;;;0;20;;;"О";1001;;"2007-09-17 14:16:51.937009";"2099-01-01 00:00:00.0"
102616200;1026162;"010604";;"Заделье (рзд)";20;1;;;0;10;;;"О 3";988;;"2007-09-17 14:16:51.937012";"2099-01-01 00:00:00.0"
102616300;1026163;"010708";;"Кондопога";20;1;;;0;10;;;"П 1,3";999;;"2007-09-17 14:16:51.937015";"2099-01-01 00:00:00.0"
102616400;1026164;"010727";;"Мянсельга";20;1;;;0;10;;;"О";1010;;"2007-09-17 14:16:51.953";"2099-01-01 00:00:00.0"
102616501;1026165;"010731";;"Илемсельга";20;1;;;0;10;;;"О";997;;"2010-06-03 12:31:46.171001";"2099-01-01 00:00:00.0"
102616600;1026166;"010801";;"Кедрозеро";20;1;;;0;10;;;"Б 3";996;;"2007-09-17 14:16:51.953006";"2099-01-01 00:00:00.0"
102616700;1026167;"010820";;"Лижма";20;1;;;0;10;;;"Б";995;;"2007-09-17 14:16:51.953008";"2099-01-01 00:00:00.0"
102616900;1026169;"010843";;"Викшезеро";20;1;;;0;20;;;"Б";993;;"2007-09-17 14:16:51.969";"2099-01-01 00:00:00.0"
102617100;1026171;"011005";;"Кяппесельга";20;1;;;0;10;;;"Б 3";991;;"2007-09-17 14:16:51.969006";"2099-01-01 00:00:00.0"
102617200;1026172;"011015";;"Уница";20;1;;;0;20;;;"Б";990;;"2007-09-17 14:16:51.969008";"2099-01-01 00:00:00.0"
102617300;1026173;"011109";;"Пергуба";20;1;;;0;10;;;"Б 3";989;;"2007-09-17 14:16:51.969011";"2099-01-01 00:00:00.0"
102617400;1026174;"011113";;"Предмедгорский";20;1;;;0;10;;;"О";1021;;"2007-09-17 14:16:51.969014";"2099-01-01 00:00:00.0"
102617501;1026175;"011202";;"Прионежская";20;1;;;0;10;;;"Х";1023;;"2009-03-27 11:19:02.812001";"2099-01-01 00:00:00.0"
102617600;1026176;"011254";;"Бранево";51;;;;0;;;;;1500010;;"2007-09-17 14:16:51.984002";"2099-01-01 00:00:00.0"
102617701;1026177;"011306";;"Медвежья Гора";20;1;;;0;10;;;"П 1,2,3,4,9";1000;;"2010-02-16 13:32:20.468001";"2099-01-01 00:00:00.0"
102617800;1026178;"011400";;"Вичка";20;1;;;0;10;;;"О 1,3";1032;;"2007-09-17 14:16:52.000005";"2099-01-01 00:00:00.0"
102617900;1026179;"011414";;"Лумбушозеро (бп)";20;1;;;0;10;;;"Б";1031;;"2007-09-17 14:16:52.000008";"2099-01-01 00:00:00.0"
102618000;1026180;"011429";;"Малыга";20;1;;;0;10;;;"О";1030;;"2007-09-17 14:16:52.00001";"2099-01-01 00:00:00.0"
102618100;1026181;"011433";;"Ванзозеро";20;1;;;0;20;;;"О";1029;;"2007-09-17 14:16:52.000012";"2099-01-01 00:00:00.0"
102618200;1026182;"011518";;"Быстряги (рзд)";20;1;;;0;10;;;"О";1028;;"2007-09-17 14:16:52.015001";"2099-01-01 00:00:00.0"
102618300;1026183;"011522";;"Раменцы";20;1;;;0;10;;;"Б";1027;;"2007-09-17 14:16:52.015004";"2099-01-01 00:00:00.0"
102618400;1026184;"011537";;"Сумеричи";20;1;;;0;10;;;"Б";1026;;"2007-09-17 14:16:52.015006";"2099-01-01 00:00:00.0"
102618500;1026185;"011541";;"Масельская";20;1;;;0;10;;;"Б";1025;;"2007-09-17 14:16:52.015009";"2099-01-01 00:00:00.0"
102618600;1026186;"011607";;"Прионежская (перев.)";20;1;;;0;10;;;;1024;;"2007-09-17 14:16:52.015012";"2099-01-01 00:00:00.0"
102618700;1026187;"011715";;"Суглица";20;1;;;0;20;;;"О";1011;;"2007-09-17 14:16:52.031002";"2099-01-01 00:00:00.0"
102618800;1026188;"011720";;"Ригозеро (рзд)";20;1;;;0;10;;;"Б";1022;;"2007-09-17 14:16:52.031005";"2099-01-01 00:00:00.0"
102618900;1026189;"011734";;"Шпаловой";20;1;;;0;10;;;"Б";1034;;"2007-09-17 14:16:52.031008";"2099-01-01 00:00:00.0"
102619000;1026190;"011749";;"Уросозеро";20;1;;;0;10;;;"Б";1020;;"2007-09-17 14:16:52.031011";"2099-01-01 00:00:00.0"
102619101;1026191;"011804";;"Сегежа";20;1;;;0;10;;;"П 1,3,5,6,8н,9,10н";1019;;"2009-09-03 13:31:21.609001";"2099-01-01 00:00:00.0"
102619200;1026192;"011819";;"Май-Губа";20;1;;;0;10;;;"Б";1018;;"2007-09-17 14:16:52.047001";"2099-01-01 00:00:00.0"
102619300;1026193;"011908";;"Надвоицы";20;1;;;0;10;;;"П 1,3";1017;;"2007-09-17 14:16:52.047004";"2099-01-01 00:00:00.0"
102619900;1026199;"011912";;"Шавань";20;1;;;0;10;;;"Б";1016;;"2007-09-17 14:16:52.047007";"2099-01-01 00:00:00.0"
102620000;1026200;"012008";;"Кочкома";20;1;;;0;10;;;"Б 3";1015;;"2007-09-17 14:16:52.04701";"2099-01-01 00:00:00.0"
102620100;1026201;"012101";;"Идель";20;1;;;0;10;;;"П 1";1014;;"2007-09-17 14:16:52.047012";"2099-01-01 00:00:00.0"
102620200;1026202;"012116";;"Тунгуда";20;1;;;0;10;;;"Б";1013;;"2007-09-17 14:16:52.062001";"2099-01-01 00:00:00.0"
102620300;1026203;"012205";;"Летний";20;1;;;0;10;;;"П 3";1012;;"2007-09-17 14:16:52.062003";"2099-01-01 00:00:00.0"
102620400;1026204;"012210";;"Кильбо";20;1;;;0;20;;;"О";986;;"2007-09-17 14:16:52.062005";"2099-01-01 00:00:00.0"
102620500;1026205;"012309";;"Сосновец";20;1;;;0;10;;;"П 3";951;;"2007-09-17 14:16:52.078001";"2099-01-01 00:00:00.0"
102620600;1026206;"012313";;"Уда";20;1;;;0;10;;;"О";998;;"2007-09-17 14:16:52.078003";"2099-01-01 00:00:00.0"
102620700;1026207;"012328";;"Горелый Мост";20;1;;;0;10;;;"О";961;;"2007-09-17 14:16:52.078005";"2099-01-01 00:00:00.0"
102620800;1026208;"012397";;"Маленьга";20;1;;;0;10;;;"Б";960;;"2007-09-17 14:16:52.078008";"2099-01-01 00:00:00.0"
102620900;1026209;"012510";;"Руйга";20;1;;;0;10;;;"О";959;;"2007-09-17 14:16:52.094";"2099-01-01 00:00:00.0"
102621000;1026210;"012525";;"Вирандозеро";20;1;;;0;20;;;"О";958;;"2007-09-17 14:16:52.094003";"2099-01-01 00:00:00.0"
102621100;1026211;"012544";;"Нюхча";20;1;;;0;10;;;"О";957;;"2007-09-17 14:16:52.094005";"2099-01-01 00:00:00.0"
102621200;1026212;"012614";;"Колежма";20;1;;;0;10;;;"Б";956;;"2007-09-17 14:16:52.094007";"2099-01-01 00:00:00.0"
102621300;1026213;"012629";;"Тегозеро";20;1;;;0;10;;;"О";955;;"2007-09-17 14:16:52.094009";"2099-01-01 00:00:00.0"
102621400;1026214;"012633";;"Ухтица";20;1;;;0;10;;;"О";954;;"2007-09-17 14:16:52.109001";"2099-01-01 00:00:00.0"
102621500;1026215;"012703";;"Сумский Посад";20;1;;;0;10;;;"Б 1,3";941;;"2007-09-17 14:16:52.109003";"2099-01-01 00:00:00.0"
102621600;1026216;"012718";;"Вирма (рзд)";20;1;;;0;10;;;"Б";952;;"2007-09-17 14:16:52.109005";"2099-01-01 00:00:00.0"
102621700;1026217;"012722";;"Сухое";20;1;;;0;10;;;"Б";963;;"2007-09-17 14:16:52.109007";"2099-01-01 00:00:00.0"
102621800;1026218;"012737";;"Шижня (рзд)";20;1;;;0;10;;;"О";950;;"2007-09-17 14:16:52.125";"2099-01-01 00:00:00.0"
