ST#UN;ST#ID;STA_NO;STA_ID;STA_NAME;MANAG_NO;ROAD_NO;DIV_NO;PROV_NO;PR_PORT;SIGN;GAUGE_KIND;ST_WORK;PARAGRAPH;ST#BGN;ST#END
274368100;2743681;"134900";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274368300;2743683;"150104";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274368500;2743685;"140206";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274368700;2743687;"149200";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274368900;2743689;"151906";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274369100;2743691;"154001";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274369300;2743693;"155702";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274369700;2743697;"130702";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370100;2743701;"131404";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370300;2743703;"131902";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370500;2743705;"133306";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370800;2743708;"133503";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274370900;2743709;"134605";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274371300;2743713;"135000";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274371400;2743714;"135509";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274371700;2743717;"135903";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274371800;2743718;"136304";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274372100;2743721;"138307";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274372200;2743722;"140600";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274372500;2743725;"142201";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274372600;2743726;"142502";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373000;2743730;"143806";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373100;2743731;"144705";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373200;2743732;"145500";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373500;2743735;"146503";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373600;2743736;"146804";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274373900;2743739;"147101";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374000;2743740;"147900";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374200;2743742;"148104";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374400;2743744;"148405";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374700;2743747;"148808";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274374800;2743748;"149304";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274375200;2743752;"150602";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274375300;2743753;"151107";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274375600;2743756;"151501";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274375800;2743758;"152203";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376100;2743761;"153704";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376500;2743765;"154302";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376600;2743766;"154603";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376700;2743767;"155108";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274376900;2743769;"155606";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"04";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377100;2743771;"156007";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377400;2743774;"156204";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377500;2743775;"157404";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377800;2743778;"157601";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274377900;2743779;"158801";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"05";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274378300;2743783;"160106";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274378700;2743787;"161503";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379100;2743791;"164501";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379400;2743794;"166309";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379500;2743795;"166901";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379800;2743798;"167209";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"06";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274379900;2743799;"168803";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274380100;2743801;"169204";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"01";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274380500;2743805;"130903";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274380600;2743806;"131601";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"03";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274381200;2743812;"135800";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
274381400;2743814;"136501";;"–≈«≈–¬Õ¿ﬂ —“¿Õ÷»ﬂ";21;13;"02";;0;;;;;"2008-01-01 00:00:00.0";"2099-01-01 00:00:00.0"
